vendor,is_digital,agencies,description,transaction_count,fy2016_spending,fy2017_spending,fy2018_spending,fy2019_spending,fy2020_spending,fy2021_spending,fy2022_spending,fy2023_spending,fy2024_spending,fy2025_spending,budget_codes_fy25,expense_categories_fy25,pct_confirmed_digital_fy25
SPRUCE TECHNOLOGY INC,Digital,Administration for Children's Services; Campaign Finance Board; City University of New York; Department of Buildings; Department of Citywide Administrative Services; Department of Design and Construction; Department of Education; Department of Environmental Protection; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Small Business Services; Department of Social Services; Department of Transportation; Department of Youth and Community Development; Independent Budget Office; Law Department; Office of Collective Bargaining; SCHOOL CONSTRUCTION AUTHORITY,Digital platform and technology services across multiple agencies,544,137747,4511249,14627278,9307773,16162915,28862127,42171410,48958960,37875821,34327190,"6111 (21%, DOBNOW PROJECT); TEC3 (18%, TEC3); TEC5 (15%, BL 2365_TEC5); NOW2 (11%, DOB, 280 BROADWAY, MN: IMPLEMENTATION DO); 7719 (8%, DIIT); 1004 (3%, TECHNOLOGY); E707 (3%, 040 E-2366); NYCG (2%, OTI: UPGRADE TO NYC.GOV WEBSITE INCL SOF); 4648 (2%, GE CENTRAL MANAGED SCH SUPP); 7413 (2%, FINANCIAL SYSTEMS AND BUSINESS OPS)",PROF SERV COMPUTER SERVICES (40%); CONSTRUCTION-BUILDINGS (33%); CAPITAL PURCHASED EQUIPMENT (14%); ADMINISTRATIVE EXPENSES (4%); CAPITAL ONLY FUNDED SBITA (2%); PROF SERV DIRECT EDUC SERV (2%); PROF SERV OTHER (2%); DATA PROCESSING SUPPLIES (2%); CONTRACTUAL SERVICES GENERAL (1%); MAINT & REP GENERAL (0%),42.0
"INNOVATIVE BUSINESS CONCEPTS,INC",Digital,Department of Information Technology and Telecommunications,Primary MyCity Portal contractor; works with DoITT on digital platforms and services,15,0,0,0,0,0,2925206,6677605,25667712,35232696,33270477,"M001 (98%, ASLYUM SUPPORT); 8100 (2%, CITYWIDE SUPPORT); 8811 (0%, MYCITY PROJECT)",CONTRACTUAL SERVICES GENERAL (100%); PROF SERV COMPUTER SERVICES (0%),0.0
EXPERIS US LLC,Digital,Department of Education; Department of Sanitation; Department of Social Services; Department of Transportation; Financial Information Services Agency; SCHOOL CONSTRUCTION AUTHORITY,"IT professional staffing and consulting for digital transformation, cloud, cybersecurity, application development",61,0,0,0,0,0,0,0,8406656,28267456,17229870,"TEC3 (53%, TEC3); 9733 (26%, WECARE CMS); 5411 (8%, RELATED SERVICES -CENTRALLY ADMINISTERED); 8888 (7%, REIMBUR SUP-CENTL SCH SUP PROG & SERV); U024 (6%, DSNY BUREAU OF INFORMATION TECHNOLOGY (B); 4000 (1%, FMS3 MAINTENANCE); 4140 (0%, PARKING AND METER COLLECTIONS); 4120 (0%, SIGNAL MAINTENANCE)",CONSTRUCTION-BUILDINGS (53%); DATA PROCESSING EQUIPMENT MAINTENANCE (26%); PROF SERV COMPUTER SERVICES (16%); CAPITAL PURCHASED EQUIPMENT (6%); PROF SERV OTHER (0%),16.0
ACCENTURE LLP,Mixed,Department of Information Technology and Telecommunications; Fire Department; Mayoralty; Police Department,"Major digital transformation consultancy: custom application development, cloud migration, system integration",13,73379,74255,1049158,9433288,5003347,9789042,12945849,13575813,22853241,11653556,"0901 (58%, TECHNOLOGY STRATEGY); 7604 (28%, FIRE CAD); 3307 (9%, TECHNOLOGY DEVELOPMENT & SYSTEMS); 5008 (5%, PERS BUR-FED ASSET FORF); 3200 (1%, IU - MAINFRAME)",PROF SERV COMPUTER SERVICES (91%); PROF SERV OTHER (5%); DATA PROCESSING EQUIPMENT MAINTENANCE (4%),91.0
MYTHICS LLC,Digital,Administration for Children's Services; City University of New York; Department of Buildings; Department of Correction; Department of Design and Construction; Department of Education; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Department of Sanitation; Department of Social Services; Financial Information Services Agency; Fire Department; Housing Preservation and Development; Mayoralty; Office of the Comptroller; SCHOOL CONSTRUCTION AUTHORITY,"Oracle systems integrator, cloud migration, enterprise software development, consulting services",82,0,0,0,0,0,0,0,1216933,19922173,20159332,"2000 (24%, NYCAPS); 3307 (12%, TECHNOLOGY DEVELOPMENT & SYSTEMS); ORCL (8%, FDNY: PURCHASE ORACLE LEGACY IT EQUIPMEN); 5000 (8%, CITYTIME); 9912 (8%, MANAGEMENT INFORMATION SYSTEMS); 3131 (7%, APPLICATIONS); APPD (4%, FDNY @ 11 METROTECH, BKLYN: FDNY ADMINIS); APPA (4%, FDNY @ 11 METROTECH, BKLYN: FDNY ADMINIS); 3214 (3%, CSMS TECHNICAL SUPPORT - IC); 3350 (2%, IT OPERATION)",DATA PROCESSING EQUIPMENT MAINTENANCE (74%); CAPITAL PURCHASED EQUIPMENT (19%); DATA PROCESSING SUPPLIES (2%); ADMINISTRATIVE EXPENSES (2%); MAINT & REP GENERAL (1%); OTHR SERV AND CHRGS-GENERAL (1%); OFFICE EQUIPMENT MAINTENANCE (1%); CONTRACTUAL SERVICES GENERAL (0%); SUPPLIES + MATERIALS - GENERAL (0%),0.0
QUALITY AND ASSURANCE TECHNOLOGY CORP,Digital,Administration for Children's Services; City University Construction Fund; City University of New York; Civilian Complaint Review Board; Department of Buildings; Department of City Planning; Department of Citywide Administrative Services; Department of Correction; Department of Emergency Management; Department of Environmental Protection; Department of Health and Mental Hygiene; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Department of Probation; Department of Sanitation; Department of Small Business Services; Department of Social Services; Department of Transportation; Fire Department; Housing Preservation and Development; Independent Budget Office; Mayoralty; NYC Taxi and Limousine Commission; Office of the Comptroller; Police Department; SCHOOL CONSTRUCTION AUTHORITY,"Digital transformation, software-defined data centers, cloud migration, custom technology solutions",151,4830166,1421881,1995846,4132839,2308079,4931214,7055015,18069485,18730944,8513928,"E707 (15%, 040 E-2366); 4171 (8%, MANAGEMENT INFORMATION SYSTEMS); 6900 (8%, LAGUARDIA COMMUNITY COLLEGE); 6121 (7%, INFORMATION TECHNOLOGY); 6615 (5%, BMCC TECHNOLOGY FEES); 4170 (5%, MANAGEMENT INFORMATION SYSTEMS); 6400 (4%, QUEENSBOROUGH COMM COLLEGE); DCPN (4%, DEPARTMENT OF CITY WIDE PLANNING: IT EQU); 6633 (3%, MANAGEMENT INFORMATION SYSTEM); 6500 (3%, KINGSBOROUGH COMM COLLEGE)",PURCH DATA PROCESSING EQUIPT (41%); ADMINISTRATIVE EXPENSES (15%); DATA PROCESSING EQUIPMENT MAINTENANCE (10%); CAPITAL PURCHASED EQUIPMENT (9%); PROF SERV COMPUTER SERVICES (5%); DATA PROCESSING SUPPLIES (4%); MAINT & REP GENERAL (4%); OTHR SERV AND CHRGS-GENERAL (4%); CONTRACTUAL SERVICES GENERAL (3%); BOOKS-OTHER (2%),5.0
MASON TECHNOLOGIES INC,Mixed,Administration for Children's Services; City University of New York; Commission on Human Rights; Department for the Aging; Department of City Planning; Department of Citywide Administrative Services; Department of Consumer & Worker Protection; Department of Correction; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Department of Sanitation; Department of Social Services; Department of Transportation; Financial Information Services Agency; Fire Department; Health and Hospitals Corporation; Independent Budget Office; Law Department; Mayoralty; Office of Administrative Trials and Hearings; Office of the Comptroller; Police Department; SCHOOL CONSTRUCTION AUTHORITY,"Prime NYC OTI technology integration contractor. Smart building technologies, structured cabling, data center infrastructure. Mix of physical IT infrastructure + digital systems integration.",137,2533311,3841490,1518241,2247347,5603315,9938808,14725200,18305944,18479936,25321740,"E012 (23%, HURRICANE SANDY CONDUIT PROJECT); M001 (11%, ASYLUM SUPPORT); 9912 (8%, MANAGEMENT INFORMATION SYSTEMS); JG56 (6%, HHC: SOUTH BKLYN (2601 OCEAN PKWY, BKLYN); JG13 (6%, HHC, ELHURST (79-01 BROADWAY, QN): IT CA); 0711 (6%, PUBLIC SAFETY IT SERVICES); JG12 (5%, HHC, QUEENS (82-68 164TH STREET, QN): IT); 5200 (3%, TELECOM SERVICES - I/C); 1084 (3%, INFORMATION TECHNOLOGY-OTPS); PSIN (2%, OTI: FIREWALL IT EQUIPMENT SYSTEM UPGRAD)",CAPITAL PURCHASED EQUIPMENT (36%); SUPPLIES + MATERIALS - GENERAL (22%); TELECOMMUNICATIONS MAINT (19%); MAINT & REP GENERAL (11%); CONTRACTUAL SERVICES GENERAL (5%); DATA PROCESSING EQUIPMENT MAINTENANCE (3%); TELEPHONE & OTHER COMMUNICATNS (1%); EQUIPMENT GENERAL (1%); OTHR SERV AND CHRGS-GENERAL (1%); DATA PROCESSING SUPPLIES (0%),0.0
RCI TECHNOLOGIES INC,Digital,Department of Buildings; Department of Citywide Administrative Services; Department of Education; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Social Services; Department of Transportation,"Custom software development, digital system modernization, mobile applications, cloud computing, cybersecurity",30,1615273,2535499,3282836,4068760,5226639,7154368,15580744,22703476,17829941,9512088,"9912 (31%, MANAGEMENT INFORMATION SYSTEMS); 7719 (27%, DIIT); 9940 (7%, DHS ITS); 6111 (6%, DOBNOW PROJECT); 3131 (6%, APPLICATIONS); CAR1 (4%, DHS: PROCURE PROFESSIONAL SRVCS FOR CLIE); 4648 (4%, GE CENTRAL MANAGED SCH SUPP); NGEN (3%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); 9580 (2%, PUBLIC ENGAGEMENT AOTPS); MSME (2%, OTI: MYCITY APPLICATION DEVELOPMENT INCL)",PROF SERV COMPUTER SERVICES (88%); CAPITAL PURCHASED EQUIPMENT (6%); SPLIT FUNDED SBITA (4%); PROF SERV OTHER (2%); CONTRACTUAL SERVICES GENERAL (0%),88.0
MOTOROLA SOLUTIONS CONNECTIVITY INC,Mixed,Department of Citywide Administrative Services; Department of Information Technology and Telecommunications,Part of Motorola Solutions - connectivity and communication platforms for public safety,3,0,0,0,0,0,0,0,3392470,16558700,18480263,"0711 (49%, PUBLIC SAFETY IT SERVICES); NGN1 (34%, DOITT NEXT GENERATION 911 (NG911) IT EQU); NGN2 (12%, DOITT NEXT GENERATION 911 CALL HANDLING); NGN3 (6%, DOITT NEXT GENERATION 911 CALL HANDLING)",CAPITAL PURCHASED EQUIPMENT (51%); DATA PROCESSING EQUIPMENT MAINTENANCE (42%); PROF SERV OTHER (7%),0.0
COMPULINK TECHNOLOGIES INC,Digital,Administration for Children's Services; Board of Correction; Board of Elections; Borough President - Manhattan; Brooklyn Community Board # 17; Brooklyn Community Board # 9; City Council; City University of New York; Civilian Complaint Review Board; Department for the Aging; Department of Buildings; Department of City Planning; Department of Citywide Administrative Services; Department of Consumer & Worker Protection; Department of Correction; Department of Cultural Affairs; Department of Design and Construction; Department of Education; Department of Emergency Management; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Department of Probation; Department of Sanitation; Department of Social Services; Department of Transportation; Department of Veterans' Services; Department of Youth and Community Development; Financial Information Services Agency; Fire Department; Housing Preservation and Development; Independent Budget Office; Law Department; Mayoralty; NYC Taxi and Limousine Commission; New York Public Library; Office of Administrative Trials and Hearings; Office of Payroll Administration; Office of the Comptroller; Police Department; Queens Community Board # 1; Queens Community Board # 10; SCHOOL CONSTRUCTION AUTHORITY,"Cloud migration, digital transformation, cybersecurity, managed IT services",347,10740271,6359520,5866822,9102413,8684284,9037498,10909622,12257396,14536912,39071583,"CYBE (7%, HRA; PROCURE HARDWARE, SOFTWARE & PROFES); 3307 (6%, TECHNOLOGY DEVELOPMENT & SYSTEMS); 3400 (5%, IU - NETWORK OPERATIONS); 4601 (5%, MANAGEMENT INFORMATION SYSTEMS); WEPN (5%, DOC; PURCHASE OF FIREARMS TRACKING SYSTE); OTIW (5%, OTI: CITYWIDE COMMERICAL ENTERPRISE WIRE); CYB1 (4%, NYPD, CITYWIDE/HARDWARE WILL BE HOSTED A); E707 (3%, 040 E-2366); MYCC (3%, OTI: MYCITY CHILDCARE PORTAL APPLICATION); 0711 (3%, PUBLIC SAFETY IT SERVICES)",DATA PROCESSING EQUIPMENT MAINTENANCE (33%); CAPITAL PURCHASED EQUIPMENT (20%); PURCH DATA PROCESSING EQUIPT (10%); CAPITAL ONLY FUNDED SBITA (9%); DATA PROCESSING SUPPLIES (5%); ADMINISTRATIVE EXPENSES (4%); CONTRACTUAL SERVICES GENERAL (4%); SUPPLIES + MATERIALS - GENERAL (3%); EXPENSE ONLY FUNDED SBITA (2%); OTHR SERV AND CHRGS-GENERAL (1%),11.0
DELOITTE CONSULTING LLP,Mixed,Department of Information Technology and Telecommunications; Department of Social Services,"Major digital transformation consultancy: custom applications, cloud migration, system integration for government",9,508,3900000,2700000,2500000,8299968,6447531,6769886,10304965,10771864,7098232,"1300 (36%, NYC CYBER COMMAND); 3851 (33%, STRATEGIC INITIATIVES); 9912 (24%, MANAGEMENT INFORMATION SYSTEMS); EFT1 (7%, HRA; PROCURE PROFESSIONAL SERVICES TO DE)",PROF SERV OTHER (69%); DATA PROCESSING EQUIPMENT MAINTENANCE (23%); CAPITAL PURCHASED EQUIPMENT (7%),0.0
GCOM SOFTWARE LLC,Digital,Department of Citywide Administrative Services; Department of Correction; Department of Emergency Management; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Social Services; Department of Transportation; Housing Preservation and Development; SCHOOL CONSTRUCTION AUTHORITY,"Government software platforms: health/human services, public safety, licensing systems",232,0,0,21589298,49045037,33426848,25816809,26356102,11051780,10742204,3439962,"E707 (38%, 040 E-2366); M002 (14%, ASYLUM SUPPORT); 8177 (8%, FFY 2023 HOMELAND SECURITY GRANT PROGRAM); E706 (6%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 7623 (6%, SEC 8 MOD REHAB/SRO ADMIN); NGEN (6%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); COMI (5%, HRA DATA CENTER CO-LOCATION PROJECT: PRO); 1106 (4%, SPECIAL CITY PROJECT - OTPS); 8167 (4%, 22UASI - GTS); DSAS (3%, HPD: DEVELOP & DEPLOY SUBSIDY AUTOMATION)",ADMINISTRATIVE EXPENSES (39%); CONTRACTUAL SERVICES GENERAL (27%); PROF SERV OTHER (10%); CAPITAL ONLY FUNDED SBITA (8%); CAPITAL PURCHASED EQUIPMENT (6%); CONSTRUCTION-BUILDINGS (5%); PROF SERV COMPUTER SERVICES (4%); EXPENSE ONLY FUNDED SBITA (0%); PROMPT PAYMENT INTEREST (0%),12.0
NICE SYSTEMS INCORPORATED,Digital,Department of Citywide Administrative Services; Department of Information Technology and Telecommunications,"Cloud contact center platforms (CXone), digital evidence management for law enforcement, AI-powered investigation software",2,9216994,9743050,16710626,13069774,12419052,13134816,14944444,18257068,10667953,12232688,"0711 (87%, PUBLIC SAFETY IT SERVICES); NGN1 (9%, DOITT NEXT GENERATION 911 (NG911) IT EQU); PSVP (2%, DOITT: PUBLIC SAFETY VOIP IT EQUIPMENT S); PBXE (2%, OTI PHONE IT EQUIPMENT SYSTEM INCL: HARD)",DATA PROCESSING EQUIPMENT MAINTENANCE (62%); CONTRACTUAL SERVICES GENERAL (26%); CAPITAL PURCHASED EQUIPMENT (13%),0.0
INTERGRAPH CORPORATION,Digital,Department of Citywide Administrative Services; Police Department,"Public safety software: Computer-Aided Dispatch (CAD), mobile incident management, GIS/mapping systems",2,8305228,18191237,10255892,7598933,15782330,16578939,10087884,10461157,10619263,10443674,"161B (100%, COMMUNICATIONS DIVISION); PDCD (0%, DOITT NYPD ICAD (COMPUTER AIDED DISPATCH); PDC1 (0%, DOITT NYPD ICAD (COMPUTER AIDED DISPATCH); PDW1 (0%, OTI NYPD INTERGRAPH COMPUTER AIDED DISPA)",CONTRACTUAL SERVICES GENERAL (100%); CAPITAL PURCHASED EQUIPMENT (0%),0.0
KPMG LLP,Mixed,Administration for Children's Services; Department of Citywide Administrative Services; Department of Education; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Social Services; SCHOOL CONSTRUCTION AUTHORITY,"Big 4 consultancy: digital transformation, custom applications, system integration, technology advisory for government",55,8934505,12954205,17238925,8615366,14705239,11470134,28876096,13069625,9328038,15342790,"E707 (44%, 040 E-2366); E706 (16%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); NGIV (14%, DOITT NEXT GENERATION 911 (NG911) IV &); 2350 (13%, NON-SECURE DETENTION CONTRACTS); 7719 (9%, DIIT); 3851 (2%, STRATEGIC INITIATIVES); 9912 (1%, MANAGEMENT INFORMATION SYSTEMS); IVSS (1%, HRA; PROCURE PROFESSIONAL SRVCS, HARDWAR); 8910 (0%, ESG-HOMELESS MANAGEMENT INFORMATION SYST); 0711 (0%, PUBLIC SAFETY IT SERVICES)",ADMINISTRATIVE EXPENSES (59%); CAPITAL PURCHASED EQUIPMENT (14%); CONTRACTUAL SERVICES GENERAL (13%); PROF SERV COMPUTER SERVICES (9%); PROF SERV OTHER (4%); CONSTRUCTION-BUILDINGS (0%),9.0
GARTNER INC,Digital,City University of New York; Department for the Aging; Department of Correction; Department of Design and Construction; Department of Education; Department of Finance; Department of Information Technology and Telecommunications; Department of Probation; Department of Social Services; Department of Transportation; Department of Youth and Community Development; Law Department; NYC Taxi and Limousine Commission; Office of the Comptroller; Police Department; SCHOOL CONSTRUCTION AUTHORITY,"IT research & advisory firm - digital transformation consulting, technology strategy, cybersecurity advisory for government",32,6698022,7097063,8508079,8458533,7322814,13892082,8335748,6712783,8520111,5595870,"E707 (23%, 040 E-2366); 0391 (9%, ADMINISTRATION SUPPORT); 1400 (9%, BUREAU OF ASSET MANAGEMENT); 0201 (9%, EXECUTIVE AND ADMINISTRATIVE); 4124 (8%, TRAFFIC ENFORCEMENT CAMERA PROGRAM); 0104 (7%, MANAGEMENT INFORMATION SERVICE); 4601 (6%, MANAGEMENT INFORMATION SYSTEMS); E706 (5%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 0702 (5%, INFORMATION SYSTEMS); 3612 (5%, ADMIN OTPS)",ADMINISTRATIVE EXPENSES (29%); CONTRACTUAL SERVICES GENERAL (23%); PROF SERV COMPUTER SERVICES (21%); OTHR SERV AND CHRGS-GENERAL (12%); PROF SERV ENGINEER & ARCHITECT (5%); PROF SERV OTHER (4%); CAPITAL ONLY FUNDED SBITA (2%); OFF SVC-MEMBERSHIP DUES & FEES (2%); BOOKS-OTHER (1%); MAINT & REP GENERAL (1%),23.0
INFOPEOPLE CORPORATION,Digital,Administration for Children's Services; Department of Citywide Administrative Services; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Social Services; Department of Transportation; SCHOOL CONSTRUCTION AUTHORITY,"IT professional staffing for digital transformation, cloud, development projects",42,4580751,3462963,6541803,10741539,10897744,16106742,10546574,10553357,8144064,7251809,"9912 (23%, MANAGEMENT INFORMATION SYSTEMS); 9940 (17%, DHS ITS); NGEN (10%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); 9424 (10%, OCSS AOTPS); 6633 (8%, MANAGEMENT INFORMATION SYSTEM); 1300 (5%, NYC CYBER COMMAND); 9944 (5%, MEDICAL ASSISTANCE AOTPS); 8910 (5%, ESG-HOMELESS MANAGEMENT INFORMATION SYST); 0711 (3%, PUBLIC SAFETY IT SERVICES); E706 (3%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR)",PROF SERV COMPUTER SERVICES (84%); CAPITAL PURCHASED EQUIPMENT (12%); CONSTRUCTION-BUILDINGS (3%); CAPITAL ONLY FUNDED SBITA (1%),85.0
"UNIVERSAL TECHNOLOGIES, LLC",Digital,Department of Citywide Administrative Services; Department of Education; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Social Services; Department of Transportation; SCHOOL CONSTRUCTION AUTHORITY,"IT services: software development, systems integration, cloud architecture, cybersecurity for government",203,2995626,6310430,5246117,6645627,8962384,7957617,7160274,7854113,7467490,9332776,"NGEN (42%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); E707 (18%, 040 E-2366); 0711 (5%, PUBLIC SAFETY IT SERVICES); 9580 (5%, PUBLIC ENGAGEMENT AOTPS); E706 (4%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 806K (3%, DOT, CITY-WIDE: DESIGN, DEVELOPMENT, & I); 9912 (2%, MANAGEMENT INFORMATION SYSTEMS); 9935 (2%, PSA-AOTPS); 7719 (2%, DIIT); 8811 (2%, MYCITY PROJECT)",CAPITAL PURCHASED EQUIPMENT (49%); PROF SERV COMPUTER SERVICES (23%); ADMINISTRATIVE EXPENSES (18%); CONTRACTUAL SERVICES GENERAL (3%); CONSTRUCTION-BUILDINGS (3%); PROF SERV OTHER (2%); CAPITAL ONLY FUNDED SBITA (1%); DATA PROCESSING EQUIPMENT MAINTENANCE (0%); PROMPT PAYMENT INTEREST (0%),24.0
"Accenture Federal Services, LLC",Digital,Department of Social Services,"Major federal IT consulting firm - cloud services, digital transformation, AI, cybersecurity for government",4,25629798,33648236,16541950,17867868,10248978,13419475,5433401,22512231,6687421,5652555,"9912 (77%, MANAGEMENT INFORMATION SYSTEMS); 9944 (13%, MEDICAL ASSISTANCE AOTPS); 9619 (10%, FAIR FARES AOTPS)",DATA PROCESSING EQUIPMENT MAINTENANCE (74%); PROF SERV OTHER (26%),0.0
RANGAM CONSULTANTS INC,Digital,Administration for Children's Services; Department of Citywide Administrative Services; Department of Correction; Department of Education; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Sanitation; Department of Social Services; Department of Transportation; NYC Taxi and Limousine Commission; SCHOOL CONSTRUCTION AUTHORITY,"IT staffing, software development, AI/ML platforms, custom applications",50,848355,890804,1941547,2401667,2272090,2864478,3501120,4379518,5785744,6434404,"MSME (21%, OTI: MYCITY APPLICATION DEVELOPMENT INCL); NGEN (12%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); 7719 (12%, DIIT); 8811 (7%, MYCITY PROJECT); FDT1 (6%, OFFICE OF TECHNOLOGY AND INNOVATION (CIT); 1300 (6%, NYC CYBER COMMAND); 9940 (5%, DHS ITS); 1084 (5%, INFORMATION TECHNOLOGY-OTPS); E706 (4%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 8910 (3%, ESG-HOMELESS MANAGEMENT INFORMATION SYST)",PROF SERV COMPUTER SERVICES (45%); CAPITAL PURCHASED EQUIPMENT (45%); CONTRACTUAL SERVICES GENERAL (5%); CONSTRUCTION-BUILDINGS (4%); PROF SERV OTHER (1%); PROMPT PAYMENT INTEREST (0%),45.0
Visionaryz Inc,Digital,Department of Citywide Administrative Services; Department of Consumer & Worker Protection; Department of Design and Construction; Department of Education; Department of Information Technology and Telecommunications; Department of Sanitation; Department of Small Business Services; Housing Preservation and Development; SCHOOL CONSTRUCTION AUTHORITY,"UI/UX design, CRM implementations, cloud services, software development",20,0,0,0,0,0,0,0,1287848,5586283,6828861,"1801 (28%, INFORMATION TECHNOLOGY); NYCG (13%, OTI: UPGRADE TO NYC.GOV WEBSITE INCL SOF); 1453 (12%, HPD TECHNOLOGY SERVICES); 6451 (10%, REALTIME FIELD FORCE SYSTEM); E706 (6%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); NGEN (4%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); 1451 (4%, MGT SERVICES - INFO SYSTEMS); FDT1 (4%, OFFICE OF TECHNOLOGY AND INNOVATION (CIT); 7719 (4%, DIIT); 1084 (3%, INFORMATION TECHNOLOGY-OTPS)",CONTRACTUAL SERVICES GENERAL (31%); PROF SERV OTHER (27%); CAPITAL ONLY FUNDED SBITA (13%); PROF SERV COMPUTER SERVICES (9%); CAPITAL PURCHASED EQUIPMENT (9%); CONSTRUCTION-BUILDINGS (6%); OTHR SERV AND CHRGS-GENERAL (3%); DATA PROCESSING SUPPLIES (2%); SUPPLIES + MATERIALS - GENERAL (1%),22.0
ECLARO INTERNATIONAL,Digital,Department of Information Technology and Telecommunications,"IT staffing, BPO, digital transformation consulting, global delivery",40,0,0,0,0,0,17817,2215526,2310311,5444813,291226,,,
K SYSTEMS SOLUTIONS LLC,Mixed,Business Integrity Commission; Department of Citywide Administrative Services; Department of Cultural Affairs; Department of Education; Department of Emergency Management; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Homeless Services; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Department of Probation; Department of Sanitation; Department of Social Services; Department of Transportation; Department of Youth and Community Development; Financial Information Services Agency; Office of the Comptroller,"Apple Authorized Gov Contractor (hardware reseller) + IT staffing, cybersecurity consulting, systems engineering",50,0,0,59990,19998,260305,239124,1177118,3085819,5416908,6174411,"3131 (16%, APPLICATIONS); 3601 (12%, WIRELESS - NYCWIN); NGEN (11%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); 806K (5%, DOT, CITY-WIDE: DESIGN, DEVELOPMENT, & I); 0711 (5%, PUBLIC SAFETY IT SERVICES); 1084 (5%, INFORMATION TECHNOLOGY-OTPS); 1054 (3%, MANAGEMENT INFORMATION SERVICE); 4171 (3%, MANAGEMENT INFORMATION SYSTEMS); 0702 (3%, INFORMATION SYSTEMS); 1150 (3%, INFORMATION TECHNOLOGY)",DATA PROCESSING EQUIPMENT MAINTENANCE (36%); CAPITAL PURCHASED EQUIPMENT (19%); DATA PROCESSING SUPPLIES (16%); PROF SERV OTHER (15%); PROF SERV COMPUTER SERVICES (3%); OTHR SERV AND CHRGS-GENERAL (3%); PURCH DATA PROCESSING EQUIPT (2%); CAPITAL ONLY FUNDED SBITA (1%); CONTRACTUAL SERVICES GENERAL (1%); TELECOMMUNICATIONS EQUIPMENT (1%),4.0
ARMEDIA LLC,Digital,Department of Sanitation; Department of Social Services; Department of Transportation; NYC Taxi and Limousine Commission,"Custom document/case management solutions (ArkCase platform), digital transformation, content management",13,0,0,523420,931106,739067,2265765,1754279,439695,5085027,2014285,"7900 (51%, EXPENSE FOR CAPITAL PROJECTS BRIDGES); 806M (45%, DOT, CITY-WIDE: CONTRACT MANAGEMENT SYST); 9912 (2%, MANAGEMENT INFORMATION SYSTEMS); 1084 (1%, INFORMATION TECHNOLOGY-OTPS); 0201 (0%, EXECUTIVE AND ADMINISTRATIVE)",CAPITAL PURCHASED EQUIPMENT (45%); PROF SERV COMPUTER SERVICES (43%); DATA PROCESSING SUPPLIES (9%); DATA PROCESSING EQUIPMENT MAINTENANCE (2%); CONTRACTUAL SERVICES GENERAL (1%),43.0
