budget_code,budget_name,is_digital,description,fy2016_spending,fy2017_spending,fy2018_spending,fy2019_spending,fy2020_spending,fy2021_spending,fy2022_spending,fy2023_spending,fy2024_spending,fy2025_spending,top_expense_categories_fy25,top_vendors_fy25,pct_confirmed_digital_fy25
9912,MANAGEMENT INFORMATION SYSTEMS,Digital,"IT Operations: Real IT spending - SHI, Deloitte, CDW, ConvergeOne. All legitimate IT vendors for DSS/HRA systems.",30417419,27354059,35545013,35767153,33252691,38886653,40413335,49566065,67297348,59510435,DATA PROCESSING EQUIPMENT MAINTENANCE (29%); PROF SERV COMPUTER SERVICES (25%); CONTRACTUAL SERVICES GENERAL (21%); DATA PROCESSING SUPPLIES (10%); BOOKS-OTHER (5%); PROF SERV OTHER (4%); TELECOMMUNICATIONS MAINT (3%); MENTAL HYGIENE SERVICES (1%); OFFICE EQUIPMENT MAINTENANCE (0%); EXPENSE ONLY FUNDED SBITA (0%),"SHI INTERNATIONAL CORP (12%); CONVERGEONE GOVERNMENT SOLUTIONS LLC (10%); PUBLIC HEALTH SOLUTIONS (8%); Accenture Federal Services, LLC (6%); CDW GOVERNMENT LLC (5%); PRUTECH SOLUTIONS, INC (4%); RCI TECHNOLOGIES INC (4%); Planned Systems International, Inc. (3%); MASON TECHNOLOGIES INC (2%); ManpowerGroup Public Sector, Inc. (2%)",25.0
1084,INFORMATION TECHNOLOGY-OTPS,Digital,"IT Operations: DSNY IT - All IT vendors: CDW ($3.3M), Newcom Wireless, QAT, World Wide Tech, Rangam staffing.",6113848,10305833,12222351,7919075,8485996,7980302,9782763,7810048,9152670,10556172,DATA PROCESSING SUPPLIES (58%); PROF SERV COMPUTER SERVICES (10%); PURCH DATA PROCESSING EQUIPT (9%); CONTRACTUAL SERVICES GENERAL (9%); RENTALS OF MISC.EQUIP (5%); DATA PROCESSING SERVICES (5%); BOOKS-OTHER (2%); TELECOMMUNICATIONS MAINT (1%); EQUIPMENT GENERAL (1%); SUPPLIES + MATERIALS - GENERAL (0%),CDW GOVERNMENT LLC (17%); WORLD WIDE TECHNOLOGY LLC (15%); SHI INTERNATIONAL CORP (12%); KONICA MINOLTA BUSINESS SOLUTIONS USA INC (8%); MASON TECHNOLOGIES INC (7%); COMPULINK TECHNOLOGIES INC (6%); ITEGIX LLC (4%); RANGAM CONSULTANTS INC (3%); ZAASS LLC (3%); K SYSTEMS SOLUTIONS LLC (3%),10.0
1150,INFORMATION TECHNOLOGY,Digital,"IT Operations: Multi-agency IT - CDW ($8.8M), SHI, World Wide Tech. Mix of vendors + ops but IT-focused.",14344248,17701244,17941401,18190150,19312656,18052767,19580252,19144233,11454888,12523932,PURCH DATA PROCESSING EQUIPT (30%); DATA PROCESSING SUPPLIES (30%); Payroll Summary (22%); CONTRACTUAL SERVICES GENERAL (8%); DATA PROCESSING EQUIPMENT MAINTENANCE (7%); OFFICE EQUIPMENT MAINTENANCE (1%); TELEPHONE & OTHER COMMUNICATNS (0%); TEMPORARY SERVICES (0%); OTHR SERV AND CHRGS-GENERAL (0%); DATA PROCESSING SERVICES (0%),"CDW GOVERNMENT LLC (40%); DEPT. OF BUSINESS P.S. (19%); SHI INTERNATIONAL CORP (10%); WORLD WIDE TECHNOLOGY LLC (7%); Oakland Consulting Group, Inc. (3%); MICROSOFT CORPORATION (3%); EXEC ADM & PLANN MGT. (3%); THE REMI GROUP LLC (2%); COMPULINK TECHNOLOGIES INC (1%); DELL MARKETING LP (1%)",0.0
0104,MANAGEMENT INFORMATION SERVICE,Mixed,"IT Operations: ACS MIS - Fast Enterprises ($8.4M gov software), Tyler Tech, Vision Gov Solutions, CDW. Real IT!",8211171,9410456,10403234,14869525,13603876,15911190,11696705,24641740,18904751,18333385,MAINT & REP GENERAL (56%); Payroll Summary (38%); OTHR SERV AND CHRGS-GENERAL (2%); CONTRACTUAL SERVICES GENERAL (1%); PURCH DATA PROCESSING EQUIPT (1%); PROF SERV COMPUTER SERVICES (1%); TRAINING PRGM CITY EMPLOYEES (1%); RENTALS OF MISC.EQUIP (0%); BOOKS-OTHER (0%); PROMPT PAYMENT INTEREST (0%),"PERSONAL SERVICES (38%); FAST ENTERPRISES LLC (24%); TYLER TECHNOLOGIES INC (18%); VISION GOVERNMENT SOLUTIONS INC (5%); CDW GOVERNMENT LLC (4%); WORLD WIDE TECHNOLOGY LLC (2%); MICROSOFT CORPORATION (2%); GARTNER INC (1%); SHI INTERNATIONAL CORP (1%); NEXUS CONSORTIUM, INC. (1%)",1.0
0702,INFORMATION SYSTEMS,Mixed,"IT Operations: Comptroller IT - Peraton ($3.6M fed contractor), REI Systems (gov IT), World Wide Tech, QAT.",5804354,5660048,6165316,7617687,7193842,7066821,7166371,9957520,8211329,9349974,DATA PROCESSING EQUIPMENT MAINTENANCE (53%); Payroll Summary (35%); DATA PROCESSING SUPPLIES (7%); PROF SERV COMPUTER SERVICES (2%); OTHR SERV AND CHRGS-GENERAL (1%); LEASING OF DATA PROC EQUIP (1%); BOOKS-OTHER (0%); PRINTING CONTRACTS (0%); TRAINING PRGM CITY EMPLOYEES (0%); CLEANING SERVICES (0%),"FIRST DEPUTY COMPT-PS (35%); PERATON INC (24%); REI SYSTEMS, INC. (24%); WORLD WIDE TECHNOLOGY LLC (3%); GARTNER INC (2%); SHI INTERNATIONAL CORP (1%); DELL MARKETING LP (1%); K SYSTEMS SOLUTIONS LLC (1%); Storage Horse LLC (1%); COMPULINK TECHNOLOGIES INC (1%)",2.0
1054,MANAGEMENT INFORMATION SERVICE,Digital,"IT Operations: DEP MIS - CDW ($9M), Infor Public Sector (gov ERP), World Wide Tech, e-Builder (construction mgmt).",13275590,7742478,12155966,11682702,8735162,8997981,12418180,14826768,21690161,20798941,DATA PROCESSING EQUIPMENT MAINTENANCE (93%); Payroll Summary (6%); DATA PROCESSING SUPPLIES (0%); SUPPLIES + MATERIALS - GENERAL (0%); TRAINING PRGM CITY EMPLOYEES (0%); OFFICE FURNITURE (0%); PURCH DATA PROCESSING EQUIPT (0%); OFF SVC-MEMBERSHIP DUES & FEES (0%); BOOKS-OTHER (0%); RENTALS OF MISC.EQUIP (0%),"WORLD WIDE TECHNOLOGY LLC (27%); CDW GOVERNMENT LLC (23%); EXECUTIVE AND OPERATIONS SUPPORT (6%); METROPOLITAN OFFICE & COMPUTER SUPPLIES INC (5%); N/A (PRIVACY/SECURITY) (5%); MICROSOFT CORPORATION (5%); INFOR PUBLIC SECTOR, INC. (5%); SHI INTERNATIONAL CORP (4%); DYNTEK SERVICES INC (4%); COMPULINK TECHNOLOGIES INC (3%)",0.0
6633,MANAGEMENT INFORMATION SYSTEM,Digital,"IT Operations: ACS MIS - Quality Assurance Tech, Xerox, Unique Comp, SHI, World Wide Tech. All IT vendors.",5257454,4789884,8970344,6818745,5003018,6364278,6355551,10561317,9057317,8879039,PROF SERV COMPUTER SERVICES (46%); DATA PROCESSING EQUIPMENT MAINTENANCE (35%); OTHR SERV AND CHRGS-GENERAL (8%); CONTRACTUAL SERVICES GENERAL (6%); RENTAL-DATA PROCESSING EQUIP (5%); TRAINING PRGM CITY EMPLOYEES (0%),UNIQUE COMP INC (10%); TNT STAFFING LLC (9%); NYC IT INC (7%); INFOPEOPLE CORPORATION (7%); COMPULINK TECHNOLOGIES INC (6%); WORLD WIDE TECHNOLOGY LLC (6%); XEROX CORPORATION (5%); MICROSOFT CORPORATION (5%); MYTHICS LLC (4%); SHI INTERNATIONAL CORP (4%),46.0
3200,IU - MAINFRAME,Digital,"IT Operations: DoITT Infrastructure Unit Mainframe - IBM ($7.8M), SHI, Kyndryl ($3M IBM spinoff). Mainframe ops.",15714937,11741391,21357633,15534025,13741582,14359119,18265835,16170453,16231719,18151521,DATA PROCESSING EQUIPMENT MAINTENANCE (61%); Payroll Summary (27%); PROF SERV COMPUTER SERVICES (11%); CONTRACTUAL SERVICES GENERAL (1%); OTHR SERV AND CHRGS-GENERAL (0%),SHI INTERNATIONAL CORP (34%); INTERNATIONAL BUSINESS MACHINES CORP (23%); TECHNOLOGY SERVICES - PS (13%); KYNDRYL INC (12%); EXECUTIVE ADMINISTRATIVE (6%); DESIGN & ENGINEERING PS (4%); ASSET MANAGEMENT-PUBLIC FACILITIES (2%); SAS INSTITUTE INC. (2%); PRECISELY SOFTWARE INCORPORATED (1%); PERSONAL SERVICES (1%),11.0
8100,CITYWIDE SUPPORT,Digital,"IT Operations: Citywide Support - MTX B2B ($11M IT reseller), CDW, Prutech Solutions. Majority IT support services.",27396028,12166033,6084878,37493166,18035293,26875592,7436508,23559291,15918246,8118252,Payroll Summary (44%); CONTRACTUAL SERVICES GENERAL (23%); DATA PROCESSING EQUIPMENT MAINTENANCE (21%); OTHR SERV AND CHRGS-GENERAL (8%); PROF SERV OTHER (2%); PROF SERV COMPUTER SERVICES (2%); SUPPLIES + MATERIALS - GENERAL (0%); DATA PROCESSING SERVICES (0%); EQUIPMENT GENERAL (0%); PURCH DATA PROCESSING EQUIPT (0%),"CITYWIDE FLEET SERVICES (27%); DELL MARKETING LP (19%); TECHNOLOGY SERVICES - PS (17%); SHI INTERNATIONAL CORP (11%); INTERNATIONAL BUSINESS MACHINES CORP (5%); INNOVATIVE BUSINESS CONCEPTS,INC (5%); CDW GOVERNMENT LLC (3%); MICROSOFT CORPORATION (3%); NEIGHBORHOOD RESTORE HOUSING DEVELOPMENT FUND CORPORATION (3%); PRUTECH SOLUTIONS, INC (2%)",2.0
3400,IU - NETWORK OPERATIONS,Digital,"IT Operations: DoITT IU Network Operations - World Wide Tech ($8M), CDW ($1.9M), personnel. Network infrastructure.",12034333,13329185,13613237,10984844,11434907,11507474,8161739,15699052,11105824,10831128,DATA PROCESSING EQUIPMENT MAINTENANCE (52%); PAY TO CULTURAL INSTITUTIONS (24%); Payroll Summary (22%); ADVERTISING (1%); PROF SERV COMPUTER SERVICES (1%); MAINT & REP GENERAL (0%); DATA PROCESSING SUPPLIES (0%); PRINTING SUPPLIES (0%); EQUIPMENT GENERAL (0%); PROF SERV OTHER (0%),WORLD WIDE TECHNOLOGY LLC (40%); DESIGN & ENGINEERING PS (18%); COMPULINK TECHNOLOGIES INC (10%); BROOKLYN ARTS COUNCIL INC (7%); LOWER MANHATTAN CULTURAL COUNCIL INC (7%); BRONX COUNCIL ON THE ARTS INC (5%); NEW YORK FOUNDATION FOR THE ARTS (3%); COUNCIL ON THE ARTS & HUMANITIES FOR STATEN ISLAND (2%); EXECUTIVE ADMINISTRATIVE (2%); PERSONAL SERVICES (1%),1.0
6121,INFORMATION TECHNOLOGY,Digital,"IT Operations: DOHMH IT - Quality Assurance Tech, World Wide Tech, Routerati, Storage Horse. All IT vendors.",831654,989328,814937,881635,705971,1081181,1144005,1149847,1064905,1752887,MAINT & REP GENERAL (41%); DATA PROCESSING EQUIPMENT MAINTENANCE (20%); BOOKS-OTHER (16%); DATA PROCESSING SUPPLIES (12%); PURCH DATA PROCESSING EQUIPT (4%); Payroll Summary (4%); CONTRACTUAL SERVICES GENERAL (1%); RENTALS OF MISC.EQUIP (0%); TELECOMMUNICATIONS EQUIPMENT (0%); OTHR SERV AND CHRGS-GENERAL (0%),QUALITY AND ASSURANCE TECHNOLOGY CORP (34%); AVENUES INTERNATIONAL INC (20%); WORLD WIDE TECHNOLOGY LLC (13%); SPRUCE TECHNOLOGY INC (9%); Storage Horse LLC (4%); AGENCYWIDE OPERATIONS - PS (4%); THE REMI GROUP LLC (2%); COMPULINK TECHNOLOGIES INC (2%); TOSHIBA AMERICA BUSINESS SOLUTIONS INC (2%); Hewlett Packard Enterprise (2%),0.0
3330,ACRIS,Digital,"IT Operations: ACRIS (Automated City Register Info System) - CDW ($14M = 80%), World Wide Tech, SHI, Mythics. 90% IT vendors.",988906,1580736,6262796,6829082,7915406,7246711,4261280,8227736,16687034,15316196,DATA PROCESSING EQUIPMENT MAINTENANCE (91%); Payroll Summary (6%); PROF SERV COMPUTER SERVICES (2%); MAINT & REP GENERAL (1%); OTHR SERV AND CHRGS-GENERAL (0%),CDW GOVERNMENT LLC (73%); WORLD WIDE TECHNOLOGY LLC (13%); EXECUTIVE ADMINISTRATIVE (6%); DELL MARKETING LP (4%); MICROSOFT CORPORATION (3%); THE REMI GROUP LLC (1%); MYTHICS LLC (0%); Mola Group Corp (0%); MADCAP SOFTWARE INC (0%); COMPULINK TECHNOLOGIES INC (0%),2.0
3350,IT OPERATION,Mixed,"IT Operations: DoITT IT Operations - SHI ($3.4M), Mythics, CDW. Despite KS Engineers, majority is IT vendors.",18572558,17175612,7174660,7529948,7800631,8774374,7847630,12487348,4705893,4113978,CONTRACTUAL SERVICES GENERAL (55%); DATA PROCESSING EQUIPMENT MAINTENANCE (39%); Payroll Summary (4%); PROF SERV COMPUTER SERVICES (2%); PURCH DATA PROCESSING EQUIPT (0%); DATA PROCESSING SUPPLIES (0%); TELECOMMUNICATIONS EQUIPMENT (0%); SUPPLIES + MATERIALS - GENERAL (0%); OTHR SERV AND CHRGS-GENERAL (0%),KS ENGINEERS P C (48%); SHI INTERNATIONAL CORP (23%); RAJ SOMAS (5%); Mola Group Corp (5%); COMPULINK TECHNOLOGIES INC (5%); MYTHICS LLC (5%); TECHNOLOGY SERVICES - PS (4%); CDW GOVERNMENT LLC (2%); DELL MARKETING LP (1%); ISLAND COMPUTER PRODUCTS INC (1%),2.0
6823,INFORMATION TECHNOLOGY,Digital,"IT Operations: DPR (Parks) IT - Small but 100% IT vendors: SHI, CDW, Gartner, World Wide Tech, Dell.",0,75333,635957,660407,834602,1653029,1105418,1874876,2321420,1598165,EXPENSE ONLY FUNDED SBITA (38%); DATA PROCESSING SUPPLIES (30%); CONTRACTUAL SERVICES GENERAL (8%); MAINT & REP GENERAL (8%); PROF SERV COMPUTER SERVICES (7%); RENTALS OF MISC.EQUIP (6%); TELECOMMUNICATIONS EQUIPMENT (2%); PURCH DATA PROCESSING EQUIPT (1%); TELECOMMUNICATIONS MAINT (0%); PRINTING CONTRACTS (0%),"CDW GOVERNMENT LLC (29%); SHI INTERNATIONAL CORP (12%); MICROSOFT CORPORATION (8%); PERFECTMIND INC (7%); XEROX CORPORATION (7%); AMERICAN COMPUTER CONSULTANTS INC (6%); DELL MARKETING LP (5%); MAUREEN DATA SYSTEMS, INC. (5%); Source IT Technologies, LLC (4%); WORLD WIDE TECHNOLOGY LLC (3%)",45.0
3204,IU MAINFRAME - I/C,Digital,"IT Operations: IU (Infrastructure Unit) mainframe intercompany charges - 100% IT vendors: IBM (41%), Dell (31%), SHI, Computer Corp of America.",10287242,7601997,11141046,11967004,8784599,12405177,12436800,13291534,12206679,14282573,DATA PROCESSING EQUIPMENT MAINTENANCE (88%); Payroll Summary (9%); PROF SERV COMPUTER SERVICES (3%),"INTERNATIONAL BUSINESS MACHINES CORP (40%); DELL MARKETING LP (28%); SHI INTERNATIONAL CORP (17%); TECHNOLOGY SERVICES - PS (9%); SAS INSTITUTE INC. (3%); HITACHI ENERGY USA INC (2%); LEVI, RAY & SHOUP, INC. (0%); PK WARE INC (0%); CHICAGO SOFT LTD (0%)",3.0
0017,CONSOLIDATIONS,Digital,"IT Operations: 100% IT vendors: CDW (68%), SHI (23%), Kambrian, Mythics, Compulink. All digital services despite vague code name.",2645808,2242860,379076,5178444,2410673,982379,5456701,3201349,2461470,2646336,MAINT & REP GENERAL (96%); OTHR SERV AND CHRGS-GENERAL (4%); PROMPT PAYMENT INTEREST (0%),CDW GOVERNMENT LLC (66%); SHI INTERNATIONAL CORP (25%); COMPULINK TECHNOLOGIES INC (6%); MYTHICS LLC (3%); APPLIED IMAGERY LLC (0%),0.0
3307,TECHNOLOGY DEVELOPMENT & SYSTEMS,Digital,"IT Operations: Tech development - 100% major IT vendors: CDW (24%), SHI (20%), World Wide Tech (10%), Prutech, Mythics. Clear digital services.",13122833,13849813,21095990,17428419,22476979,24479349,33911721,30719021,33197451,32954946,DATA PROCESSING EQUIPMENT MAINTENANCE (67%); PROF SERV COMPUTER SERVICES (16%); EDUCATION & REC FOR YOUTH PRGM (13%); DATA PROCESSING SUPPLIES (3%); PURCH DATA PROCESSING EQUIPT (1%); EQUIPMENT GENERAL (1%); PROMPT PAYMENT INTEREST (0%); TRAINING PRGM CITY EMPLOYEES (0%),"CDW GOVERNMENT LLC (25%); PRUTECH SOLUTIONS, INC (15%); SHI INTERNATIONAL CORP (13%); WORLD WIDE TECHNOLOGY LLC (7%); COMPULINK TECHNOLOGIES INC (6%); MYTHICS LLC (6%); RISING GROUND INC (6%); JP MORGAN CHASE BANK NA (3%); SANSIO INC (3%); ACCENTURE LLP (3%)",16.0
3800,IT SECURITY,Digital,"IT Operations: IT security - Major IT vendors: CDW (13%), SHI (8%), Spruce Tech, CNC Consulting, plus Tech Services PS. Clear digital services.",26671837,28910346,31745853,32215172,37427514,32878697,43517702,45539921,41718328,45794180,PAY TO CULTURAL INSTITUTIONS (70%); DATA PROCESSING EQUIPMENT MAINTENANCE (20%); Payroll Summary (7%); PROF SERV COMPUTER SERVICES (2%); PROF SERV OTHER (1%); CONTRACTUAL SERVICES GENERAL (0%); PROMPT PAYMENT INTEREST (0%),"CDW GOVERNMENT LLC (13%); SHI INTERNATIONAL CORP (9%); TECHNOLOGY SERVICES - PS (7%); CNC CONSULTING INC (0%); COMPULINK TECHNOLOGIES INC (0%); INTREPID MUSEUM FOUNDATION INC (0%); METROPOLITAN OPERA ASSOCIATION, INC (0%); ST LUKES CHAMBER ENSEMBLE INC (0%); NEW YORK FOUNDATION FOR THE ARTS (0%); MINDBUILDERS CREATIVE ARTS INC (0%)",2.0
4470,QUEENS TRAFFIC ENFORCEMENT,Digital,"IT Operations: DOT Traffic Enforcement IT - Despite name, 100% IT vendors: CDW (33%), Universal Tech (16%), Quality & Assurance (10%), Itegix, Riomar.",2606879,1112738,9232,0,0,0,0,3952695,1686663,24647,DATA PROCESSING EQUIPMENT MAINTENANCE (82%); PROF SERV COMPUTER SERVICES (17%); PROMPT PAYMENT INTEREST (0%),CDW GOVERNMENT LLC (83%); 22ND CENTURY TECHNOLOGIES INC (17%),17.0
7390,BUR BUD & CONTRACT MNGMT,Digital,"IT Operations: Bureau of Budget & Contract Management - 100% IT vendors: CDW (26%), World Wide Tech (17%), SVAM (8%), Clutch Solutions (8%), Gartner (5%).",0,1869780,1450372,4417372,2272296,1230193,1206950,1638727,1807729,1633804,DATA PROCESSING SUPPLIES (73%); DATA PROCESSING EQUIPMENT MAINTENANCE (19%); PROF SERV COMPUTER SERVICES (6%); PURCH DATA PROCESSING EQUIPT (1%); OTHR SERV AND CHRGS-GENERAL (1%); BOOKS-OTHER (0%),CDW GOVERNMENT LLC (24%); WORLD WIDE TECHNOLOGY LLC (17%); GARTNER INC (6%); Visionaryz Inc (6%); THE REMI GROUP LLC (6%); SHI INTERNATIONAL CORP (4%); ABRAHAMS CONSULTING LLC (4%); ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE INC (4%); DLT SOLUTIONS LLC (3%); ImageWork USA LLC (3%),6.0
